teamName,sport,metroAreaName
Philadelphia 76ers,NBA,Philadelphia
Miami Heat,NBA,Miami
New York Knicks,NBA,NewYorkCity
Orlando Magic,NBA,Orlando
Boston Celtics,NBA,Boston
New Jersey Nets,NBA,NewYorkCity
Washington Wizards,NBA,WashingtonDC
Milwaukee Bucks,NBA,Milwaukee
Toronto Raptors,NBA,null
Charlotte Hornets,NBA,Charlotte
Indiana Pacers,NBA,Indianapolis
Detroit Pistons,NBA,Detroit
Cleveland Cavaliers,NBA,Cleveland
Atlanta Hawks,NBA,Atlanta
Chicago Bulls,NBA,Chicago
San Antonio Spurs,NBA,SanAntonio
Utah Jazz,NBA,SaltLakeCity
Dallas Mavericks,NBA,Dallas
Minnesota Timberwolves,NBA,Minneapolis
Houston Rockets,NBA,Houston
Denver Nuggets,NBA,Denver
Vancouver Grizzlies,NBA,null
Los Angeles Lakers,NBA,LosAngeles
Sacramento Kings,NBA,Sacramento
Phoenix Suns,NBA,Phoenix
Portland Trail Blazers,NBA,Portland
Seattle SuperSonics,NBA,Seattle
Los Angeles Clippers,NBA,LosAngeles
Golden State Warriors,NBA,SanFrancisco
Memphis Grizzlies,NBA,Memphis
New Orleans Hornets,NBA,NewOrleans
Charlotte Bobcats,NBA,Charlotte
Oklahoma City Hornets,NBA,OklahomaCity
Oklahoma City Thunder,NBA,OklahomaCity
Brooklyn Nets,NBA,NewYorkCity
New Orleans Pelicans,NBA,NewOrleans
New York Yankees,MLB,NewYorkCity
Boston Red Sox,MLB,Boston
Toronto Blue Jays,MLB,null
Baltimore Orioles,MLB,Baltimore
Tampa Bay Devil Rays,MLB,Tampa
Cleveland Indians,MLB,Cleveland
Minnesota Twins,MLB,Minneapolis
Chicago White Sox,MLB,Chicago
Detroit Tigers,MLB,Detroit
Kansas City Royals,MLB,KansasCity
Seattle Mariners,MLB,Seattle
Oakland Athletics,MLB,SanFrancisco
Anaheim Angels,MLB,LosAngeles
Texas Rangers,MLB,Dallas
Atlanta Braves,MLB,Atlanta
Philadelphia Phillies,MLB,Philadelphia
New York Mets,MLB,NewYorkCity
Florida Marlins,MLB,Miami
Montreal Expos,MLB,null
Houston Astros,MLB,Houston
St. Louis Cardinals,MLB,StLouis
Chicago Cubs,MLB,Chicago
Milwaukee Brewers,MLB,Milwaukee
Cincinnati Reds,MLB,Cincinnati
Pittsburgh Pirates,MLB,Pittsburgh
Arizona Diamondbacks,MLB,Phoenix
San Francisco Giants,MLB,SanFrancisco
Los Angeles Dodgers,MLB,LosAngeles
San Diego Padres,MLB,SanDiego
Colorado Rockies,MLB,Denver
Los Angeles Angels of Anaheim,MLB,LosAngeles
Washington Nationals,MLB,WashingtonDC
Tampa Bay Rays,MLB,Tampa
Miami Marlins,MLB,Miami
Los Angeles Angels,MLB,LosAngeles
New England Patriots,NFL,Boston
Miami Dolphins,NFL,Miami
New York Jets,NFL,NewYorkCity
Indianapolis Colts,NFL,Indianapolis
Buffalo Bills,NFL,Buffalo
Pittsburgh Steelers,NFL,Pittsburgh
Baltimore Ravens,NFL,Baltimore
Cleveland Browns,NFL,Cleveland
Tennessee Titans,NFL,Nashville
Jacksonville Jaguars,NFL,Jacksonville
Cincinnati Bengals,NFL,Cincinnati
Oakland Raiders,NFL,SanFrancisco
Seattle Seahawks,NFL,Seattle
Denver Broncos,NFL,Denver
Kansas City Chiefs,NFL,KansasCity
San Diego Chargers,NFL,SanDiego
Philadelphia Eagles,NFL,Philadelphia
Washington Redskins,NFL,WashingtonDC
New York Giants,NFL,NewYorkCity
Arizona Cardinals,NFL,Phoenix
Dallas Cowboys,NFL,Dallas
Chicago Bears,NFL,Chicago
Green Bay Packers,NFL,GreenBay
Tampa Bay Buccaneers,NFL,Tampa
Minnesota Vikings,NFL,Minneapolis
Detroit Lions,NFL,Detroit
St. Louis Rams,NFL,StLouis
San Francisco 49ers,NFL,SanFrancisco
New Orleans Saints,NFL,NewOrleans
Atlanta Falcons,NFL,Atlanta
Carolina Panthers,NFL,Charlotte
Houston Texans,NFL,Houston
Los Angeles Rams,NFL,LosAngeles
Los Angeles Chargers,NFL,LosAngeles
Las Vegas Raiders,NFL,LasVegas
Washington Football Team,NFL,WashingtonDC
Atlanta Thrashers,NHL,Atlanta
Boston Bruins,NHL,Boston
Buffalo Sabres,NHL,Buffalo
Carolina Hurricanes,NHL,Raleigh
Columbus Blue Jackets,NHL,Columbus
Calgary Flames,NHL,null
Chicago Blackhawks,NHL,Chicago
Colorado Avalanche,NHL,Denver
Dallas Stars,NHL,Dallas
Detroit Red Wings,NHL,Detroit
Edmonton Oilers,NHL,null
Florida Panthers,NHL,Miami
Los Angeles Kings,NHL,LosAngeles
Mighty Ducks of Anaheim,NHL,LosAngeles
Minnesota Wild,NHL,Minneapolis
Montreal Canadiens,NHL,null
New Jersey Devils,NHL,NewYorkCity
Nashville Predators,NHL,Nashville
New York Islanders,NHL,NewYorkCity
New York Rangers,NHL,NewYorkCity
Ottawa Senators,NHL,null
Philadelphia Flyers,NHL,Philadelphia
Phoenix Coyotes,NHL,Phoenix
Pittsburgh Penguins,NHL,Pittsburgh
San Jose Sharks,NHL,SanFrancisco
St. Louis Blues,NHL,StLouis
Tampa Bay Lightning,NHL,Tampa
Toronto Maple Leafs,NHL,null
Vancouver Canucks,NHL,null
Washington Capitals,NHL,WashingtonDC
Anaheim Ducks,NHL,LosAngeles
Winnipeg Jets,NHL,null
Arizona Coyotes,NHL,Phoenix
Vegas Golden Knights,NHL,LasVegas
